role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
A;Immobile;Lazio;28;5.91;6.59;7;0;0;4;4;0;1;8;0.0;0.0;2023-2024;0;2024
A;Thauvin;Udinese;25;6.2;6.84;5;0;0;1;1;0;3;4;0.0;0.0;2023-2024;0;2024
A;Sanchez;Inter;19;6.18;6.76;2;0;0;1;1;0;5;0;0.0;0.0;2023-2024;0;2024
A;Arnautovic;Inter;24;6.15;6.9;5;0;0;0;0;0;3;0;0.0;0.0;2023-2024;1;2024
A;Lauriente';Sassuolo;37;5.99;6.46;5;0;0;0;0;0;5;5;0.0;0.0;2023-2024;0;2024
A;Muriel;Atalanta;13;6.15;6.69;2;0;0;0;0;0;1;0;0.0;0.0;2023-2024;0;2024
A;Piccoli;Lecce;32;6.02;6.41;5;0;0;1;1;0;0;5;0.0;0.0;2023-2024;0;2024
A;Raspadori;Napoli;33;5.98;6.44;5;0;0;1;0;1;3;0;0.0;0.0;2023-2024;1;2024
A;Ekuban;Genoa;23;6.09;6.65;4;0;0;0;0;0;1;0;0.0;0.0;2023-2024;0;2024
A;Azmoun;Roma;15;6.23;6.77;3;0;0;0;0;0;0;4;0.0;0.0;2023-2024;0;2024
A;Noslin;Verona;17;6.35;7.41;5;0;0;0;0;0;4;2;0.0;0.0;2023-2024;1;2024
A;Niang;Empoli;14;6.36;7.68;6;0;0;4;4;0;1;1;0.0;0.0;2023-2024;0;2024
A;Jovic;Milan;19;5.89;6.79;6;0;0;0;0;0;1;2;1.0;0.0;2023-2024;0;2024
A;Barrow;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
A;Cambiaghi;Empoli;37;6.14;6.2;1;0;0;0;0;0;1;3;0.0;0.0;2023-2024;0;2024
A;Dia;Salernitana;17;5.85;6.53;4;0;0;1;1;0;0;1;0.0;0.0;2023-2024;0;2024
A;Ceesay;Lecce;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
A;Mota;Monza;33;6.0;6.41;4;0;0;0;0;0;3;3;0.0;0.0;2023-2024;1;2024
A;Vitinha O.;Genoa;6;6.42;7.33;2;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
A;Castellanos;Lazio;31;5.87;6.32;4;0;0;0;0;0;3;2;0.0;0.0;2023-2024;1;2024
A;Sanabria;Torino;35;5.84;6.24;5;0;0;2;2;0;0;2;0.0;0.0;2023-2024;0;2024
A;Milik;Juventus;24;6.0;6.46;4;0;0;0;0;0;1;2;1.0;0.0;2023-2024;0;2024
A;Shomurodov;Cagliari;20;5.85;6.42;3;0;0;0;0;0;3;1;0.0;0.0;2023-2024;0;2024
A;Cancellieri;Empoli;34;6.0;6.31;4;0;0;0;0;0;2;7;0.0;0.0;2023-2024;0;2024
A;Toure' E.;Atalanta;9;6.0;6.56;2;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
A;Isaksen;Lazio;23;6.07;6.46;3;0;0;0;0;0;1;3;0.0;0.0;2023-2024;0;2024
